country,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,241,0,1090,0,237,0,0,0,0,16,0,0,37,0,0,22,0,4140,2270,26,6,0,2980,0,1080,599,9,855,1540,658,439,857,36,53,16,0,23,54,20,0,0,13,11,
Bangladesh,,,,,0,0,0,0,0,172,0,0,0,0,0,0,0,0,393k,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,61k,1.9M,0,0,0,500,0,0,0,200,0,0,0,0,0,0,500,0,18.1k,11.3k,0,22.1k,300,48.9k,889,91,339,849,300k,163,250,2330,31.5k,0,215,907,1180,341,666,1090,2740,1450,2400,16.6k,2560,3820,4300,1950,1380,143k,510,754,730,2560,1140,802,1670,767,680,703,1340,1710,1520,997,384,5790,121,563,370,165,764,1190,320,300,271,494,102,402,372,573,
Bulgaria,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,50,0,3,0,25,15,1,0,0,27,0,0,0,0,3,0,14,2,1,0,0,57,0,17,10,17,3,0,38,0,36,5,0,10,16,0,0,44,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,69,0,0,0,0,0,10,13,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,12,1,0,55,0,0,0,0,25,30,0,33,0,0,0,384,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,50,0,0,0,0,4,0,0,11,1,5,0,4,0,26,0,0,0,0,1,0,0,
Belarus,,,,,,,,,,,,,,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,56,0,0,0,31,0,5,0,0,0,0,0,0,0,4,2,0,0,43,0,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,14,30,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,0,24,18,0,0,0,0,31,0,112,10,40,0,0,0,0,250,0,29,29,25,0,90,0,354,81,21,5,0,75,74,187,101,108,50,169,205,58,0,91,116,121,19,119,123,43,167,137,0,4,0,46,97,25,127,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,37,43,0,0,0,200,100,0,0,0,0,0,0,66,112,0,159,0,323,0,146,100,22,946,1260,113,316,408,239,39,20,2020,244,0,72,26,300,82,627,170,218,1140,135,52,426,1070,378,68,633,137,99,170,388,409,93,132,142,262,127,321,412,275,115,227,269,417,466,430,1070,92,383,83,121,312,278,84,454,262,82,10
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,0,0,0,0,0,0,39,0,0,0,0,0,200,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,10,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,470,0,2,0,0,0,0,12,0,0,0,0,0,0,,,
